epoch,step,val_loss,val_acc,val_calibration_error,val_chirality_violation,train_loss_epoch,train_acc_epoch,train_calibration_error_epoch,test_loss,test_acc,test_calibration_error,test_chirality_violation
0,49,0.962611973285675,0.6157265901565552,0.1193764582276344,,0.9952241778373718,0.5883578658103943,0.1323492527008056,,,,
1,99,0.9451881051063538,0.6225340366363525,0.1281099319458007,,0.955294907093048,0.6180883646011353,0.1163046583533287,,,,
2,149,0.9279937148094176,0.6400389075279236,0.1290376037359237,,0.9389765858650208,0.6247568726539612,0.116614706814289,,,,
3,249,0.931853175163269,0.6430953145027161,0.1601380258798599,,0.9253429174423218,0.6405946016311646,0.1243270710110664,,,,
4,299,0.9047784209251404,0.6560155749320984,0.1358218193054199,,0.9146801233291626,0.6443456411361694,0.1255898475646972,,,,
5,399,0.9122406840324402,0.7031119465827942,0.2079046368598938,,0.9024842977523804,0.6562933921813965,0.1250528842210769,,,,
6,449,0.8717941045761108,0.7064462304115295,0.1555391699075698,,0.8888736963272095,0.6640733480453491,0.1289197206497192,,,,
7,549,0.8528069853782654,0.6854681968688965,0.135675311088562,,0.87092524766922,0.688524603843689,0.1478258818387985,,,,
8,599,0.8265102505683899,0.7570158243179321,0.2134771943092346,,0.8450517654418945,0.7260349988937378,0.1613925099372863,,,,
9,649,0.8073980808258057,0.7625729441642761,0.2017503082752227,-2.602729558944702,0.815550684928894,0.7764657139778137,0.188110813498497,,,,
10,749,0.7518336772918701,0.8660739064216614,0.2506200969219208,-1.141024112701416,0.7822800874710083,0.8220338821411133,0.2137579321861267,,,,
11,799,0.7270825505256653,0.9183106422424316,0.3104152679443359,-0.2230398654937744,0.7476701140403748,0.8603779077529907,0.234157532453537,,,,
12,899,0.713175892829895,0.8841344714164734,0.2690168917179107,1.1142884492874146,0.7082360982894897,0.8874687552452087,0.2410195171833038,,,,
13,949,0.6754854321479797,0.8958044052124023,0.2422405630350113,-1.6964362859725952,0.6694247722625732,0.9095582365989684,0.2407619804143905,,,,
14,1049,0.6118099689483643,0.9290080666542052,0.2191609293222427,2.1385769844055176,0.633863091468811,0.9265073537826538,0.2326378524303436,,,,
15,1099,0.6144370436668396,0.9059460759162904,0.2009467184543609,2.68597412109375,0.6053959131240845,0.935954451560974,0.2209939807653427,,,,
16,1199,0.5730173587799072,0.9504029154777528,0.2073896080255508,-0.4016295671463012,0.5885379314422607,0.9444289803504944,0.2189606875181198,,,,
17,1249,0.5651731491088867,0.9490135908126832,0.1960745900869369,-0.3309410214424133,0.5763300657272339,0.9447068572044371,0.2128997296094894,,,,
18,1299,0.5565791130065918,0.9634620547294616,0.219099760055542,0.2417186945676803,0.5678873062133789,0.9526257514953612,0.2139393091201782,,,,
19,1399,0.5669151544570923,0.9188663363456726,0.1812759935855865,2.1547694206237797,0.5621931552886963,0.948735773563385,0.2062479108572006,,,,
20,1449,0.5626123547554016,0.9021950364112854,0.1737709790468216,0.3624494075775146,0.5575042963027954,0.9480411410331726,0.20457324385643,,,,
21,1549,0.5597697496414185,0.903306484222412,0.1724177002906799,0.8668912053108215,0.5544751882553101,0.9497082233428956,0.2036966234445572,,,,
22,1599,0.5557496547698975,0.9404001235961914,0.177971675992012,2.215440273284912,0.5521485209465027,0.9515143036842346,0.2032793760299682,,,,
23,1699,0.5555869936943054,0.9267852306365968,0.1795960813760757,1.9362434148788448,0.5501284599304199,0.9512364268302916,0.2017259448766708,,,,
24,1749,0.543319821357727,0.9656848907470704,0.2140357047319412,1.3352715969085691,0.5506283044815063,0.9448457956314088,0.1987254172563552,,,,
25,1849,0.553991973400116,0.904417872428894,0.1691683828830719,0.3319337964057922,0.5474957227706909,0.9545707106590272,0.2044212520122528,,,,
26,1899,0.5409746170043945,0.9683245420455932,0.2154511213302612,0.2962349951267242,0.549232006072998,0.9438732862472534,0.1957091391086578,,,,
27,1949,0.5626379251480103,0.895387589931488,0.1609745174646377,3.0021066665649414,0.5458791851997375,0.9520699977874756,0.2018029540777206,,,,
28,2049,0.5394659638404846,0.9695748686790466,0.2101334780454635,0.5238408446311951,0.5469276905059814,0.948180079460144,0.1978397071361541,,,,
29,2099,0.551071047782898,0.9203945398330688,0.1592349857091903,0.2447302192449569,0.5451534390449524,0.952764630317688,0.2028471380472183,,,,
30,2199,0.5378603339195251,0.9727702140808104,0.214630052447319,0.4412405490875244,0.5447332859039307,0.9490135908126832,0.1997046172618866,,,,
31,2249,0.5489974021911621,0.9272019863128662,0.166359394788742,1.5276267528533936,0.5435225367546082,0.952208936214447,0.2008251845836639,,,,
32,2349,0.540616512298584,0.9580438733100892,0.2065271437168121,-0.1142660453915596,0.5437702536582947,0.9448457956314088,0.1957029104232788,,,,
33,2399,0.5401386618614197,0.9520699977874756,0.2048092484474182,0.3793694376945495,0.5427888035774231,0.9562378525733948,0.2036022990942001,,,,
