train_loss_step,train_acc_step,train_calibration_error_step,epoch,step,val_loss,val_acc,val_calibration_error,val_chirality_violation,train_loss_epoch,train_acc_epoch,train_calibration_error_epoch,test_loss,test_acc,test_calibration_error,test_chirality_violation
0.8979588150978088,0.7400000095367432,0.2090120166540146,0,49,,,,,,,,,,,
,,,0,71,0.9641642570495605,0.6154487133026123,0.125578373670578,nan,,,,,,,
,,,0,71,,,,,1.0024102926254272,0.5736315846443176,0.14100231230258942,,,,
0.964809238910675,0.6100000143051147,0.10636197030544281,1,99,,,,,,,,,,,
,,,1,143,0.9416593313217163,0.6265629529953003,0.12319548428058624,nan,,,,,,,
,,,1,143,,,,,0.9525851607322693,0.6187829971313477,0.11719443649053574,,,,
0.9207156300544739,0.6200000047683716,0.08944681286811829,2,149,,,,,,,,,,,
0.9133016467094421,0.6200000047683716,0.10827331244945526,2,199,,,,,,,,,,,
,,,2,215,0.9260684251785278,0.6318421959877014,0.13066056370735168,nan,,,,,,,
,,,2,215,,,,,0.9356459379196167,0.6247568726539612,0.11883875727653503,,,,
0.9175494313240051,0.6299999952316284,0.164833664894104,3,249,,,,,,,,,,,
,,,3,287,0.9092795252799988,0.649208128452301,0.12685884535312653,nan,,,,,,,
,,,3,287,,,,,0.921298623085022,0.6390663981437683,0.1190827339887619,,,,
0.8501192927360535,0.7299999594688416,0.1566322296857834,4,299,,,,,,,,,,,
0.8597291111946106,0.6899999976158142,0.1196817085146904,4,349,,,,,,,,,,,
,,,4,359,0.9033191800117493,0.6460127830505371,0.10911081731319427,nan,,,,,,,
,,,4,359,,,,,0.9048107862472534,0.6474020481109619,0.12294836342334747,,,,
0.9021615386009216,0.6299999952316284,0.1328081488609314,5,399,,,,,,,,,,,
,,,5,431,0.8935438394546509,0.6508752703666687,0.11313389241695404,nan,,,,,,,
,,,5,431,,,,,0.8899756073951721,0.6639344096183777,0.1294519007205963,,,,
0.844277560710907,0.6800000071525574,0.13297295570373535,6,449,,,,,,,,,,,
0.8913308382034302,0.6499999761581421,0.13222205638885498,6,499,,,,,,,,,,,
,,,6,503,0.867748498916626,0.6821339130401611,0.1320948600769043,nan,,,,,,,
,,,6,503,,,,,0.8790770173072815,0.6700472235679626,0.1373497098684311,,,,
0.8098998069763184,0.7599999904632568,0.1719849705696106,7,549,,,,,,,,,,,
,,,7,575,0.8595981001853943,0.6750486493110657,0.13052229583263397,nan,,,,,,,
,,,7,575,,,,,0.8672787547111511,0.6864407062530518,0.12909959256649017,,,,
0.8406350612640381,0.7699999809265137,0.18071694672107697,8,599,,,,,,,,,,,
,,,8,647,0.836652934551239,0.7782717347145081,0.22527877986431122,nan,,,,,,,
,,,8,647,,,,,0.8498576283454895,0.710058331489563,0.14738546311855316,,,,
0.8115695118904114,0.7599999904632568,0.15961942076683044,9,649,,,,,,,,,,,
0.7626153230667114,0.7699999809265137,0.16197606921195984,9,699,,,,,,,,,,,
,,,9,719,0.757697582244873,0.812031090259552,0.19184236228466034,0.5200115442276001,,,,,,,
,,,9,719,,,,,0.8103470802307129,0.7611836791038513,0.17226256430149078,,,,
0.721868634223938,0.8199999928474426,0.1912076771259308,10,749,,,,,,,,,,,
,,,10,791,0.6811364889144897,0.8613503575325012,0.22901371121406555,0.6366468667984009,,,,,,,
,,,10,791,,,,,0.7180131077766418,0.8280077576637268,0.1969703882932663,,,,
0.6569140553474426,0.8700000047683716,0.20801040530204773,11,799,,,,,,,,,,,
0.6166709065437317,0.9099999666213989,0.204222172498703,11,849,,,,,,,,,,,
,,,11,863,0.6429917812347412,0.874965250492096,0.1979394406080246,-0.4953974187374115,,,,,,,
,,,11,863,,,,,0.663060188293457,0.8566268682479858,0.18947617709636688,,,,
0.6163580417633057,0.8499999642372131,0.19840744137763977,12,899,,,,,,,,,,,
,,,12,935,0.6560531854629517,0.8510697484016418,0.1819213330745697,2.025089979171753,,,,,,,
,,,12,935,,,,,0.6391056180000305,0.8696860074996948,0.18159036338329315,,,,
0.6136882901191711,0.9099999666213989,0.20727795362472534,13,949,,,,,,,,,,,
0.6114877462387085,0.9300000071525574,0.2021704912185669,13,999,,,,,,,,,,,
,,,13,1007,0.610758900642395,0.8949708342552185,0.1611107438802719,0.002257473999634385,,,,,,,
,,,13,1007,,,,,0.6200433373451233,0.8905251622200012,0.18381726741790771,,,,
0.5978794097900391,0.9099999666213989,0.19668656587600708,14,1049,,,,,,,,,,,
,,,14,1079,0.6339847445487976,0.8582939505577087,0.12668560445308685,0.6999533176422119,,,,,,,
,,,14,1079,,,,,0.6098090410232544,0.9021950364112854,0.18965022265911102,,,,
0.6223984956741333,0.8999999761581421,0.18464091420173645,15,1099,,,,,,,,,,,
0.5863710641860962,0.9300000071525574,0.19403499364852905,15,1149,,,,,,,,,,,
,,,15,1151,0.5926747918128967,0.9301194548606873,0.21401427686214447,0.018119938671588898,,,,,,,
,,,15,1151,,,,,0.6005927920341492,0.9112253189086914,0.1894974708557129,,,,
0.6234308481216431,0.85999995470047,0.15203678607940674,16,1199,,,,,,,,,,,
,,,16,1223,0.5882012844085693,0.9292858839035034,0.20083346962928772,-0.45035701990127563,,,,,,,
,,,16,1223,,,,,0.5954481959342957,0.916643500328064,0.1921893060207367,,,,
0.5853450894355774,0.9699999690055847,0.22765681147575378,17,1249,,,,,,,,,,,
,,,17,1295,0.5807823538780212,0.9372047781944275,0.20604607462882996,0.10888966172933578,,,,,,,
,,,17,1295,,,,,0.5890090465545654,0.9309530258178711,0.20093092322349548,,,,
