epoch,val_loss,val_acc,val_calibration_error,step,train_loss_epoch,train_acc_epoch,train_calibration_error_epoch,test_loss,test_acc,test_calibration_error
0,1.0071287155151367,0.6093358993530273,0.0467401966452598,35,0.9957091212272644,0.595859944820404,0.0937327817082405,,,
1,0.975485861301422,0.63170325756073,0.1108666360378265,49,0.9257698059082032,0.6453181505203247,0.1112303882837295,,,
2,1.0167499780654907,0.551264226436615,0.0847521647810936,99,0.8772373795509338,0.6769936084747314,0.1075602397322654,,,
3,1.1523765325546265,0.4698527455329895,0.083106480538845,143,0.8106421828269958,0.7317310571670532,0.112027883529663,,,
4,0.7390156388282776,0.7786885499954224,0.1175185367465019,149,0.7605142593383789,0.7642400860786438,0.1226725354790687,,,
5,0.6891779899597168,0.8200889229774475,0.1602736562490463,199,0.6960073113441467,0.8093914985656738,0.127468466758728,,,
6,0.6462133526802063,0.8450958728790283,0.1557667702436447,249,0.6457483172416687,0.8523200750350952,0.1438974887132644,,,
7,0.6205827593803406,0.8726034760475159,0.1383803784847259,287,0.6209914684295654,0.8726034760475159,0.1525070816278457,,,
8,0.6066336631774902,0.8762156367301941,0.1365917325019836,299,0.6011053323745728,0.8898305296897888,0.1606923341751098,,,
9,0.6007009148597717,0.8808002471923828,0.1352707296609878,349,0.5852039456367493,0.898582935333252,0.1667680442333221,,,
10,0.5712425112724304,0.9127535223960876,0.165050134062767,395,0.5747590661048889,0.9102528691291808,0.1731187105178833,,,
11,0.5928521752357483,0.8912197947502136,0.1708127558231353,399,0.5688135623931885,0.9165045619010924,0.1750890910625457,,,
12,0.562383234500885,0.9262295365333556,0.1836192011833191,449,0.5630254745483398,0.9258127212524414,0.1839576363563537,,,
13,0.5728593468666077,0.8887190818786621,0.1448120027780532,499,0.5589269399642944,0.9299805760383606,0.1901042759418487,,,
14,0.552655816078186,0.9415115118026732,0.1969693154096603,539,0.5572540163993835,0.9404001235961914,0.1946338713169098,,,
15,0.5478275418281555,0.952764630317688,0.2097579836845398,549,0.5530914068222046,0.9369269013404846,0.1922161430120468,,,
16,0.5484465956687927,0.9510975480079652,0.1943160444498062,599,0.5511884093284607,0.9401222467422484,0.1951844394207,,,
17,0.5468617081642151,0.9505417943000792,0.2021095603704452,647,0.5499885082244873,0.94026118516922,0.1946811527013778,,,
18,0.5465660095214844,0.9531814455986024,0.2160794585943222,649,0.549191951751709,0.9462350606918336,0.2002002149820327,,,
19,0.5435741543769836,0.957488179206848,0.2102571427822113,699,0.5486410856246948,0.9480411410331726,0.2019466608762741,,,
20,0.5417635440826416,0.964156687259674,0.2104629427194595,749,0.5452728867530823,0.9494304060935974,0.204084038734436,,,
21,0.5416398644447327,0.9599888920783995,0.2129369080066681,791,0.5448382496833801,0.949291467666626,0.201920136809349,,,
22,0.5429172515869141,0.958321750164032,0.2026772648096084,799,0.544637143611908,0.9502639770507812,0.2030895203351974,,,
23,0.5455313324928284,0.9515143036842346,0.2162730544805526,849,0.5433974862098694,0.9509586095809937,0.2027318626642227,,,
