OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,dr8_id,err_r,petroR50_r,petroR50Err_r
587727177912746086,00:01:13.06,-11:06:13.1,65,0.585,0.046,0.092,0.246,0.031,0.0,0.385,0.364,0.599,1,0,0,267359_399,0.00438906,2.163882,0.014014
587727177912877125,00:02:18.21,-11:01:39.5,30,0.667,0.067,0.133,0.1,0.033,0.0,0.3,0.667,0.3,0,0,1,267360_1999,0.004786964,1.484682,0.013799
587727225153519717,00:02:30.21,-10:54:06.6,23,0.261,0.304,0.043,0.304,0.087,0.0,0.652,0.166,0.743,0,0,1,267360_4172,0.006239173,3.017849,0.0218
587727225153650820,00:03:42.53,-10:59:49.2,60,0.15,0.017,0.617,0.183,0.017,0.017,0.817,0.041,0.922,1,0,0,267361_2545,0.006647296,3.060182,0.020959
587727177912942710,00:03:20.84,-11:06:13.2,34,0.853,0.0,0.0,0.059,0.088,0.0,0.059,0.804,0.104,0,0,1,267361_277,0.007719004,2.318783,0.039058
587727177913008212,00:03:29.84,-11:04:36.7,29,0.138,0.069,0.034,0.724,0.034,0.0,0.828,0.022,0.939,1,0,0,267361_948,0.009029746,2.31885,0.045101
587727225153912967,00:05:54.07,-10:59:07.0,27,0.63,0.0,0.037,0.222,0.111,0.0,0.259,0.615,0.274,0,0,1,267363_2515,0.005312111,1.405524,0.017772
587727177913139329,00:05:13.88,-11:05:58.5,52,0.827,0.019,0.0,0.135,0.019,0.0,0.154,0.827,0.154,0,0,1,267363_426,0.004204347,1.654864,0.009276662
587727225153978471,00:06:20.75,-10:56:53.7,30,0.4,0.033,0.033,0.033,0.233,0.267,0.1,0.342,0.134,0,0,1,267364_2913,0.008085039,1.442556,0.063577
587727177913270360,00:06:25.71,-11:04:53.7,51,0.941,0.0,0.0,0.039,0.02,0.0,0.039,0.927,0.053,0,1,0,267364_657,0.006160877,2.431233,0.056046
587727225154109562,00:08:01.54,-10:59:34.1,25,0.52,0.04,0.04,0.4,0.0,0.0,0.48,0.191,0.809,1,0,0,267365_2243,0.008833291,2.094035,0.043404
587727177913532487,00:08:57.90,-11:02:31.0,32,0.531,0.094,0.031,0.219,0.094,0.031,0.344,0.149,0.647,0,0,1,267366_1538,0.008385267,2.381808,0.035897
587727225154109582,00:08:08.18,-10:57:56.0,32,0.75,0.188,0.062,0.0,0.0,0.0,0.25,0.501,0.499,0,0,1,267366_2981,0.008882189,1.375951,0.025235
587727225154175160,00:08:18.41,-10:53:09.6,60,0.167,0.017,0.017,0.75,0.05,0.0,0.783,0.035,0.909,1,0,0,267366_4522,0.009976774,2.914954,0.055359
587727177913598029,00:09:27.40,-11:04:52.8,24,0.625,0.0,0.0,0.167,0.167,0.042,0.167,0.555,0.228,0,0,1,267367_702,0.006478776,1.510095,0.069174
587727177913598007,00:09:18.86,-11:05:18.4,27,0.926,0.0,0.0,0.0,0.074,0.0,0.0,0.926,0.0,0,1,0,267367_765,0.007100287,1.651219,0.029578
