Unnamed: 0,OBJID,RA,DEC,NVOTE,P_EL,P_CW,P_ACW,P_EDGE,P_DK,P_MG,P_CS,P_EL_DEBIASED,P_CS_DEBIASED,SPIRAL,ELLIPTICAL,UNCERTAIN,dr8_id
2511,587727178991141022,00:44:50.64,-10:21:22.6,26,0.0,0.962,0.0,0.038,0.0,0.0,1.0,0.0,1.0,1,0,0,271652_304
2573,587727178992255068,00:55:07.11,-10:17:06.3,46,0.0,0.913,0.0,0.043,0.0,0.043,0.957,0.0,0.957,1,0,0,271662_2012
2614,587727225696551050,00:59:48.46,-10:17:50.7,62,0.016,0.919,0.048,0.016,0.0,0.0,0.984,0.012,0.988,1,0,0,271666_1226
2665,587727178993827951,01:09:29.58,-10:09:53.6,21,0.095,0.81,0.048,0.0,0.0,0.048,0.857,0.054,0.898,1,0,0,271676_3216
2722,587727225698451601,01:17:18.19,-10:07:56.7,63,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,271684_4807
2745,587727225698975839,01:21:54.54,-10:08:15.8,32,0.031,0.812,0.062,0.031,0.0,0.062,0.906,0.015,0.922,1,0,0,271688_4443
2785,587727178459250746,01:30:40.39,-10:16:06.4,54,0.019,0.963,0.0,0.019,0.0,0.0,0.981,0.007,0.993,1,0,0,271697_2980
2786,587727178459250785,01:30:54.12,-10:14:59.0,38,0.026,0.816,0.079,0.053,0.0,0.026,0.947,0.009,0.964,1,0,0,271697_3483
2838,587727178460233883,01:40:06.38,-10:12:50.7,57,0.018,0.965,0.018,0.0,0.0,0.0,0.982,0.018,0.982,1,0,0,271706_4924
2911,587727229449535629,01:49:24.83,-10:09:13.1,30,0.0,0.933,0.0,0.067,0.0,0.0,1.0,0.0,1.0,1,0,0,271715_5769
2918,587727229449928814,01:52:36.16,-10:13:55.3,24,0.042,0.875,0.0,0.083,0.0,0.0,0.958,0.014,0.986,1,0,0,271718_4717
2958,587730815751815261,22:32:31.77,-10:07:35.7,31,0.0,0.903,0.032,0.065,0.0,0.0,1.0,0.0,1.0,1,0,0,272939_4613
3048,587730816291373127,22:57:30.16,-10:10:40.3,35,0.0,0.886,0.0,0.114,0.0,0.0,1.0,0.0,1.0,1,0,0,272964_3470
3078,587730816292028429,23:03:31.28,-10:15:05.3,35,0.0,0.971,0.0,0.029,0.0,0.0,1.0,0.0,1.0,1,0,0,272970_2278
3387,587727178986225691,23:58:43.11,-10:22:00.2,51,0.02,0.961,0.02,0.0,0.0,0.0,0.98,0.02,0.98,1,0,0,273024_162
3504,587727179525193826,00:18:30.27,-09:54:52.0,37,0.162,0.838,0.0,0.0,0.0,0.0,0.838,0.08,0.92,1,0,0,273044_3827
3564,587727226230931521,00:36:28.92,-10:06:22.2,43,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0,0,273061_130
3783,587727178994352256,01:14:23.11,-10:06:22.6,27,0.0,0.926,0.0,0.074,0.0,0.0,1.0,0.0,1.0,1,0,0,273099_263
3813,587727178994942082,01:19:53.81,-09:56:50.7,58,0.0,0.966,0.0,0.017,0.0,0.017,0.983,0.0,0.983,1,0,0,273104_3461
3814,587727178995007645,01:20:44.46,-10:00:20.4,46,0.022,0.913,0.0,0.043,0.0,0.022,0.957,0.012,0.966,1,0,0,273105_2273
