epoch,val_loss,val_acc,val_calibration_error,step,train_loss_epoch,train_acc_epoch,train_calibration_error_epoch,test_loss,test_acc,test_calibration_error
0,1.0663613080978394,0.4880522489547729,0.0946610942482948,35,0.9436131715774536,0.6153098344802856,0.0651897937059402,,,
1,1.1720417737960815,0.6369825005531311,0.0776640474796295,49,0.844697117805481,0.7181161642074585,0.12089753895998,,,
2,0.7024803161621094,0.8323145508766174,0.1954535543918609,99,0.719718337059021,0.8173103928565979,0.140434056520462,,,
3,0.6918874382972717,0.8148096799850464,0.0970163717865943,143,0.6224677562713623,0.8820505738258362,0.1468327045440673,,,
4,0.6137720942497253,0.8580161333084106,0.1266753524541854,149,0.5847786068916321,0.9034454226493835,0.1519995182752609,,,
5,0.6016077399253845,0.8830230832099915,0.1080966591835022,199,0.5652263760566711,0.9191442131996156,0.1608061641454696,,,
6,0.553796648979187,0.9299805760383606,0.1803128272294998,249,0.5560364127159119,0.928591251373291,0.1712943315505981,,,
7,0.5598028898239136,0.9094192981719972,0.1620507538318634,287,0.552849531173706,0.9228952527046204,0.1647338569164276,,,
8,0.566782534122467,0.904140055179596,0.1283888518810272,299,0.5519369840621948,0.9230341911315918,0.1669943481683731,,,
9,0.5869522094726562,0.8713531494140625,0.1224550902843475,349,0.5503620505332947,0.9258127212524414,0.1671752035617828,,,
10,0.5495513677597046,0.91580992937088,0.1697272062301635,395,0.5485851168632507,0.9309530258178712,0.1740029156208038,,,
11,0.5469534397125244,0.9342873096466064,0.1709890812635421,399,0.5448381900787354,0.935954451560974,0.1803029030561447,,,
12,0.55455482006073,0.8987218737602234,0.1487768292427063,449,0.5436358451843262,0.9380383491516112,0.1802262812852859,,,
13,0.5506308078765869,0.9315087795257568,0.168168693780899,499,0.5438334345817566,0.934426248073578,0.1792742311954498,,,
14,0.5637829303741455,0.893025815486908,0.1516549587249755,539,0.543928325176239,0.9342873096466064,0.1776540875434875,,,
15,0.5414345860481262,0.9385940432548524,0.1848340034484863,549,0.5415644645690918,0.9405390620231628,0.1840713173151016,,,
16,0.5516020655632019,0.8963600993156433,0.1575498729944229,599,0.5392925143241882,0.9455404281616212,0.189169555902481,,,
