epoch,val_loss,val_acc,val_calibration_error,step,train_loss_epoch,train_acc_epoch,train_calibration_error_epoch,test_loss,test_acc,test_calibration_error
0,1.0295474529266355,0.6086412668228149,0.1868582367897033,35,0.9517279863357544,0.6060016751289368,0.064923845231533,,,
1,0.9132760167121888,0.6323978900909424,0.0811482295393943,49,0.8506297469139099,0.7126979827880859,0.1214363202452659,,,
2,0.7708537578582764,0.7638232707977295,0.0490542761981487,99,0.7167471647262573,0.8264795541763306,0.1520269066095352,,,
3,0.6698344945907593,0.8381494879722595,0.1112454980611801,143,0.6174442768096924,0.8923311829566956,0.1577583104372024,,,
4,0.6217835545539856,0.8489858508110046,0.0907704532146453,149,0.586936354637146,0.9034454226493835,0.1511168628931045,,,
5,0.581129789352417,0.9021950364112854,0.1385006755590438,199,0.57236647605896,0.9092803597450256,0.1538901478052139,,,
6,0.5871121287345886,0.8413448333740234,0.1032659932971,249,0.5634807348251343,0.9208113551139832,0.1633812040090561,,,
7,0.5701583623886108,0.9049736261367798,0.1428197622299194,287,0.5575225353240967,0.922200620174408,0.1644487380981445,,,
8,0.5647925138473511,0.916087806224823,0.1662316918373108,299,0.5529855489730835,0.9260905981063844,0.1689773350954055,,,
9,0.5601043105125427,0.9187273979187012,0.159083142876625,349,0.5506672263145447,0.9284523725509644,0.1707369983196258,,,
10,0.544953465461731,0.9466518759727478,0.1897331625223159,395,0.5479516983032227,0.924840211868286,0.1667730510234832,,,
11,0.5528891682624817,0.928591251373291,0.1715932339429855,399,0.5443002581596375,0.937621533870697,0.1810157001018524,,,
12,0.548882007598877,0.9292858839035034,0.1761585921049118,449,0.5446841716766357,0.9360933303833008,0.1796968430280685,,,
13,0.5477596521377563,0.930675208568573,0.1644499450922012,499,0.5440851449966431,0.934148371219635,0.1780267804861068,,,
14,0.5645423531532288,0.9124757051467896,0.1435149908065796,539,0.5433992147445679,0.9363712072372437,0.1793637573719024,,,
15,0.5397744178771973,0.9497082233428956,0.1996504664421081,549,0.5414355993270874,0.94026118516922,0.1836517602205276,,,
16,0.5375930666923523,0.9477632641792296,0.1948038190603256,599,0.5396277904510498,0.9465129375457764,0.1896118223667144,,,
17,0.53973388671875,0.9485968351364136,0.1948924958705902,647,0.5390896797180176,0.9409558176994324,0.1847203373908996,,,
18,0.5364354848861694,0.9570714235305786,0.1998476088047027,649,0.5397536754608154,0.9413726329803468,0.1864853501319885,,,
