step,epoch,val_loss,val_acc,train_loss_epoch,train_acc_epoch
52,0.0,0.9497939348220825,0.5933333039283752,1.0441008806228638,0.4762857258319855
105,1.0,0.8200502395629883,0.5924444198608398,0.8909809589385986,0.5904762148857117
158,2.0,0.7682117819786072,0.637333333492279,0.8164757490158081,0.621999979019165
211,3.0,0.7431987524032593,0.636888861656189,0.7810624241828918,0.6348571181297302
264,4.0,0.7253390550613403,0.6457777619361877,0.7516113519668579,0.6417142748832703
317,5.0,0.7108267545700073,0.6391111016273499,0.7269394397735596,0.657619059085846
370,6.0,0.7049335241317749,0.6426666378974915,0.7133737802505493,0.666190505027771
423,7.0,0.6968168020248413,0.6511111259460449,0.7008344531059265,0.6728571653366089
476,8.0,0.6930294036865234,0.6484444737434387,0.6944793462753296,0.6793333292007446
529,9.0,0.6906172633171082,0.6537777781486511,0.6849355697631836,0.6900952458381653
582,10.0,0.6894862651824951,0.6537777781486511,0.6792579293251038,0.6970475912094116
635,11.0,0.693461537361145,0.6493333578109741,0.6756979823112488,0.698285698890686
688,12.0,0.6866276860237122,0.6600000262260437,0.6701503992080688,0.7105714082717896
741,13.0,0.6913133263587952,0.6524444222450256,0.6661774516105652,0.7059047818183899
794,14.0,0.6878523230552673,0.656000018119812,0.6617430448532104,0.7194285988807678
847,15.0,0.6876707077026367,0.656000018119812,0.6596249341964722,0.7193333506584167
900,16.0,0.6876513957977295,0.6546666622161865,0.6548986434936523,0.7201904654502869
953,17.0,0.6859891414642334,0.6600000262260437,0.6483137607574463,0.7333333492279053
1006,18.0,0.6855601668357849,0.6653333306312561,0.6491319537162781,0.7319999933242798
1059,19.0,0.6878373622894287,0.6551111340522766,0.6439011096954346,0.7379047870635986
1112,20.0,0.6856107115745544,0.6662222146987915,0.6378986239433289,0.7464761734008789
1165,21.0,0.6861212849617004,0.6644444465637207,0.6373977661132812,0.7509523630142212
1218,22.0,0.6872351169586182,0.6657778024673462,0.6317383050918579,0.7576190233230591
1271,23.0,0.6862439513206482,0.6671110987663269,0.6271529197692871,0.7579047679901123
1324,24.0,0.688487708568573,0.6613333225250244,0.623167097568512,0.7651428580284119
1377,25.0,0.6888595819473267,0.6639999747276306,0.6199299693107605,0.7716190218925476
1430,26.0,0.6909682750701904,0.6608889102935791,0.6150152087211609,0.7752380967140198
1483,27.0,0.6891140937805176,0.6795555353164673,0.6100277900695801,0.776190459728241
1536,28.0,0.6872062087059021,0.6746666431427002,0.6082339882850647,0.7833333611488342
1589,29.0,0.6904109716415405,0.6657778024673462,0.6007556915283203,0.7923809289932251
1642,30.0,0.6903058886528015,0.6697777509689331,0.595079243183136,0.7971428632736206
1695,31.0,0.6917523145675659,0.6751111149787903,0.5935566425323486,0.8012381196022034
1748,32.0,0.6903169751167297,0.6800000071525574,0.589272141456604,0.801809549331665
1801,33.0,0.690065860748291,0.6871111392974854,0.5807634592056274,0.8115237951278687
1854,34.0,0.6906452775001526,0.6862221956253052,0.5754539370536804,0.8162857294082642
1907,35.0,0.6905567646026611,0.6919999718666077,0.5695071220397949,0.8234285712242126
1960,36.0,0.6883164644241333,0.6924444437026978,0.5638681054115295,0.8307619094848633
2013,37.0,0.6886194944381714,0.6973333358764648,0.5595880150794983,0.8340952396392822
2066,38.0,0.6878626942634583,0.6973333358764648,0.554230809211731,0.8397142887115479
2119,39.0,0.688891589641571,0.7017777562141418,0.5497068762779236,0.8430476188659668
2172,40.0,0.6865523457527161,0.7057777643203735,0.5442492961883545,0.8502857089042664
2225,41.0,0.6863600015640259,0.7044444680213928,0.5394353866577148,0.8535237908363342
2278,42.0,0.6848419904708862,0.7062222361564636,0.531560480594635,0.8580952286720276
2331,43.0,0.6829596161842346,0.7120000123977661,0.526450514793396,0.8612381219863892
2384,44.0,0.6823840141296387,0.7137777805328369,0.5190703868865967,0.8704761862754822
2437,45.0,0.6790058612823486,0.7213333249092102,0.5128422379493713,0.8705714344978333
2490,46.0,0.678379476070404,0.7262222170829773,0.5096190571784973,0.8775237798690796
2543,47.0,0.6741594672203064,0.7284444570541382,0.5024630427360535,0.881428599357605
2596,48.0,0.6742117404937744,0.7355555295944214,0.49677056074142456,0.8890476226806641
2649,49.0,0.6722801923751831,0.7333333492279053,0.49177077412605286,0.8917142748832703
2702,50.0,0.6696823835372925,0.742222249507904,0.48559510707855225,0.8956190347671509
2755,51.0,0.6697202324867249,0.7391111254692078,0.48466718196868896,0.8944761753082275
2808,52.0,0.6671070456504822,0.7395555377006531,0.4786090850830078,0.9011428356170654
2861,53.0,0.6636977791786194,0.746222198009491,0.4738680124282837,0.9024761915206909
2914,54.0,0.6631728410720825,0.7511110901832581,0.4687306582927704,0.9079047441482544
2967,55.0,0.6619247198104858,0.7506666779518127,0.4626598358154297,0.9132381081581116
3020,56.0,0.6613820195198059,0.7528889179229736,0.45675140619277954,0.915142834186554
3073,57.0,0.6572367548942566,0.7555555701255798,0.45439839363098145,0.9171428680419922
3126,58.0,0.6556443572044373,0.7631111145019531,0.4517269432544708,0.9195238351821899
3179,59.0,0.6530757546424866,0.7617777585983276,0.44690340757369995,0.9228571653366089
