epoch,step,val_loss,val_acc,val_calibration_error,val_chirality_violation,train_loss_epoch,train_acc_epoch,train_calibration_error_epoch,test_loss,test_acc,test_calibration_error,test_chirality_violation
0,49,0.9812496304512024,0.6091970205307007,0.1369774937629699,,0.945054054260254,0.6132258772850037,0.1091727241873741,,,,
1,99,0.9434518814086914,0.6411502957344055,0.110280193388462,,0.9074711799621582,0.6500416994094849,0.1188258156180381,,,,
2,149,0.8596816062927246,0.6921367049217224,0.0959276556968689,-2.5142202377319336,0.8488552570343018,0.687968909740448,0.1232177540659904,,,,
3,249,0.772713840007782,0.733676016330719,0.1113919764757156,-1.865104079246521,0.7699314951896667,0.7377049326896667,0.1201778054237365,,,,
4,299,0.7749176025390625,0.7328424453735352,0.1012455895543098,2.34985089302063,0.7396994233131409,0.7461795210838318,0.1127834394574165,,,,
5,399,0.7166920900344849,0.7631286382675171,0.1285074353218078,-0.6251022815704346,0.7161033749580383,0.7671575546264648,0.1249856427311897,,,,
6,449,0.7059654593467712,0.7767435312271118,0.124321348965168,-0.141013965010643,0.7057933807373047,0.7709085941314697,0.1190433427691459,,,,
7,549,0.7920987606048584,0.7168657779693604,0.0998205468058586,0.6285843253135681,0.6996625065803528,0.7778549790382385,0.122646264731884,,,,
8,599,0.7131441235542297,0.7631286382675171,0.1101768836379051,-1.5709420442581177,0.6964414119720459,0.7767435312271118,0.1207067742943763,,,,
9,649,0.7104434370994568,0.7721589207649231,0.1380603909492492,1.159984111785889,0.6922194361686707,0.7778549790382385,0.1223985627293586,,,,
10,749,0.6850637197494507,0.787024199962616,0.1319238394498825,0.8839786052703857,0.6858319640159607,0.7882745265960693,0.1266942769289016,,,,
11,799,0.6758071780204773,0.791053056716919,0.1208707392215728,0.3606440126895904,0.6849223971366882,0.7827174067497253,0.1245706900954246,,,,
12,899,0.7329214811325073,0.7621561288833618,0.121172048151493,-3.2723851203918457,0.6833460330963135,0.7879966497421265,0.1225686892867088,,,,
13,949,0.6937941908836365,0.7806335091590881,0.0997890383005142,0.2146064788103103,0.6760150790214539,0.7911919951438904,0.1257572621107101,,,,
14,1049,0.6802687644958496,0.793414831161499,0.1352152079343795,1.1046814918518066,0.6773172616958618,0.7924423217773438,0.1231490299105644,,,,
15,1099,0.6856324076652527,0.7857738137245178,0.1009505540132522,-0.2057666629552841,0.6738012433052063,0.7941094636917114,0.1202948540449142,,,,
16,1199,0.7270525693893433,0.7549319267272949,0.1092605963349342,-3.243896484375,0.6719315648078918,0.7909141182899475,0.1240984871983528,,,,
17,1249,0.6828662157058716,0.7884134650230408,0.139798417687416,1.7129249572753906,0.6712617874145508,0.793414831161499,0.1255719512701034,,,,
18,1299,0.6705833673477173,0.8064740300178528,0.1170883253216743,-0.9645628333091736,0.6724780201911926,0.7957766056060791,0.1230916604399681,,,,
19,1399,0.6726879477500916,0.8007779717445374,0.1161103099584579,0.0403642579913139,0.6699044704437256,0.7889691591262817,0.1194718703627586,,,,
20,1449,0.6942529082298279,0.7772992253303528,0.1128109395503997,2.7030222415924072,0.6655327081680298,0.8007779717445374,0.1285462379455566,,,,
21,1549,0.7699950337409973,0.7258960604667664,0.1154492497444152,-4.391924381256104,0.6622921824455261,0.7975826859474182,0.124421626329422,,,,
22,1599,0.6619105935096741,0.8017504811286926,0.1295263469219207,-0.0311327092349529,0.6632490754127502,0.8027229905128479,0.1288216114044189,,,,
23,1699,0.6702917814254761,0.7961933612823486,0.1238474547863006,-1.4471113681793213,0.6622976064682007,0.8045290112495422,0.1289622038602829,,,,
24,1749,0.6693536043167114,0.7974437475204468,0.1347622722387313,-0.7570237517356873,0.6628308296203613,0.8034176230430603,0.1282908767461776,,,,
25,1849,0.6526566743850708,0.8075854182243347,0.1263104975223541,-0.0482368879020214,0.6588258147239685,0.8032786846160889,0.1270785927772522,,,,
26,1899,0.6642791628837585,0.7957766056060791,0.137251541018486,-0.6444984674453735,0.6602898836135864,0.7963322997093201,0.1271152049303054,,,,
27,1949,0.680927038192749,0.7835509777069092,0.1161389276385307,-2.5979371070861816,0.6579232215881348,0.7986940741539001,0.1271196603775024,,,,
28,2049,0.6725956201553345,0.798971951007843,0.1210501566529274,-1.338753581047058,0.6567954421043396,0.8043901324272156,0.1284253895282745,,,,
29,2099,0.6571738123893738,0.8121700286865234,0.1172972843050956,0.7612475752830505,0.6571182012557983,0.8007779717445374,0.130409762263298,,,,
30,2199,0.6539677977561951,0.8102250695228577,0.1191853359341621,0.4650707840919494,0.65681391954422,0.8028619289398193,0.1290270090103149,,,,
31,2249,0.648777425289154,0.8088358044624329,0.1271793842315673,0.1605019569396972,0.6552114486694336,0.8067518472671509,0.1268822401762008,,,,
32,2349,0.6670275330543518,0.791053056716919,0.1177360042929649,-1.7049095630645752,0.6540228128433228,0.8060572147369385,0.1285896003246307,,,,
33,2399,0.6530286073684692,0.8109197020530701,0.1225851029157638,0.6046749353408813,0.6526075601577759,0.8036954998970032,0.1255419701337814,,,,
34,2449,0.6642402410507202,0.798971951007843,0.1160784512758255,1.531948804855347,0.6520769596099854,0.8118922114372253,0.1319354921579361,,,,
35,2549,0.6464357972145081,0.8195332288742065,0.134489044547081,-0.2576613426208496,0.6516231298446655,0.8075854182243347,0.1244505122303962,,,,
36,2599,0.6499286890029907,0.8110586404800415,0.1257229447364807,0.4707731604576111,0.6508981585502625,0.8095304369926453,0.1315845847129821,,,,
37,2699,0.6573999524116516,0.8132814764976501,0.123962789773941,0.7661920189857483,0.649876594543457,0.8081411719322205,0.128131091594696,,,,
38,2749,0.660163164138794,0.7891080975532532,0.1171447560191154,0.1993371099233627,0.6489426493644714,0.8156432509422302,0.1331476718187332,,,,
39,2849,0.6464583277702332,0.8178660869598389,0.1317688971757888,-0.1207284778356552,0.6481339335441589,0.8127257823944092,0.1308256238698959,,,,
40,2899,0.6553642749786377,0.8095304369926453,0.1213975027203559,1.2460955381393433,0.6482141613960266,0.8164768218994141,0.1322851032018661,,,,
41,2999,0.6457701921463013,0.8173103928565979,0.132779911160469,-1.1374552249908447,0.6476652026176453,0.80855792760849,0.1276149451732635,,,,
42,3049,0.6554941534996033,0.8102250695228577,0.1186710074543953,-0.8831687569618225,0.6479619145393372,0.8088358044624329,0.1305669993162155,,,,
43,3099,0.6651734709739685,0.8028619289398193,0.1282333135604858,1.8948434591293333,0.6449533104896545,0.8138371706008911,0.1278931349515915,,,,
44,3199,0.6559195518493652,0.8055015206336975,0.1289181858301162,1.7185980081558228,0.6460362672805786,0.8110586404800415,0.1243258714675903,,,,
45,3249,0.6472510099411011,0.8118922114372253,0.1380751132965088,-0.7375916838645935,0.6444059014320374,0.8156432509422302,0.1305947303771972,,,,
46,3349,0.6509868502616882,0.8174492716789246,0.1377746909856796,1.1038793325424194,0.6444653868675232,0.8138371706008911,0.1275472939014434,,,,
47,3399,0.643021285533905,0.817032516002655,0.1339769512414932,-0.2879776060581207,0.6412678956985474,0.8185607194900513,0.1281922608613968,,,,
48,3499,0.6494386792182922,0.8106418251991272,0.1208020150661468,-1.3462098836898804,0.6416572332382202,0.8207835555076599,0.1333186775445938,,,,
49,3549,0.6490559577941895,0.8100861310958862,0.1277778148651123,-1.1705284118652344,0.6422379016876221,0.8164768218994141,0.129867136478424,,,,
50,3649,0.6427685618400574,0.8082800507545471,0.1280875205993652,0.3923072516918182,0.6405671238899231,0.8206446170806885,0.1325403153896331,,,,
51,3699,0.6467015743255615,0.8164768218994141,0.1269616335630417,-0.4293069541454315,0.641157329082489,0.8186996579170227,0.1318199783563614,,,,
52,3749,0.6376960873603821,0.8223117589950562,0.1303845196962356,-0.1401977688074112,0.6405045390129089,0.8142539858818054,0.129699632525444,,,,
53,3849,0.6630133390426636,0.7978605031967163,0.1099582761526107,1.972591757774353,0.6387162804603577,0.8232842683792114,0.1316976845264434,,,,
54,3899,0.6404876708984375,0.8250902891159058,0.1344989836215973,0.5038866400718689,0.6406086683273315,0.8173103928565979,0.1304744631052017,,,,
55,3999,0.6348757147789001,0.8243956565856934,0.1346411406993866,0.0784576386213302,0.6399513483047485,0.8227285146713257,0.1318085342645645,,,,
56,4049,0.6390663981437683,0.8299527764320374,0.1222992688417434,-0.4544856548309326,0.6385218501091003,0.8212003111839294,0.1346497237682342,,,,
57,4149,0.6419670581817627,0.8239789009094238,0.1299536079168319,1.5206538438796997,0.6383084058761597,0.8174492716789246,0.1312254965305328,,,,
58,4199,0.6435359716415405,0.8174492716789246,0.1293252259492874,-1.3765650987625122,0.6386339068412781,0.8249513506889343,0.1336671411991119,,,,
59,4249,0.6384153366088867,0.8203667402267456,0.123433768749237,-0.5091457962989807,0.6390413641929626,0.8189774751663208,0.1320677697658538,,,,
