[0.10099119 0.04916149 0.8498474 ],[7.70994330e-02 6.10310684e-06 4.10520037e-06],[2.18070128e-01 1.72621929e-05 1.16112601e-05]
[0.02035725 0.01357672 0.9660661 ],[6.38619286e-02 2.53018156e-07 2.25135136e-07],[1.80628811e-01 7.15643415e-07 6.36778327e-07]
[0.3985478  0.04171114 0.559741  ],[0.01380669 0.02210125 0.00051816],[0.03905121 0.06251176 0.00146558]
[0.05655612 0.06048077 0.8829631 ],[6.33442121e-02 4.00137607e-06 1.99027047e-05],[1.79164488e-01 1.13176006e-05 5.62933497e-05]
[0.01340575 0.0166865  0.96990776],[6.31029601e-02 1.93908937e-07 2.15102709e-07],[1.78482124e-01 5.48457298e-07 6.08402337e-07]
[0.02905097 0.01498541 0.9559637 ],[6.83656922e-02 8.41056021e-07 6.26521912e-07],[1.93367378e-01 2.37886566e-06 1.77207157e-06]
[0.03766993 0.07036397 0.89196604],[7.51953195e-02 3.34746015e-06 2.39500039e-06],[2.12684481e-01 9.46804710e-06 6.77408408e-06]
[0.01552633 0.02135423 0.9631194 ],[6.31663734e-02 2.85826402e-07 4.17932287e-07],[1.78661484e-01 8.08439149e-07 1.18209102e-06]
[0.16296108 0.08714914 0.74988973],[0.07383446 0.0001442  0.00050616],[0.2088354  0.00040787 0.00143164]
[0.6804833  0.01261512 0.3069016 ],[0.0012345  0.06958403 0.0044396 ],[0.00349169 0.19681336 0.01255709]
[0.04398297 0.40793943 0.5480776 ],[0.00279519 0.0018306  0.0964477 ],[0.00790598 0.00517771 0.2727953 ]
[0.84489095 0.01870786 0.13640125],[1.57737176e-06 1.43522052e-05 5.41021655e-02],[4.46148108e-06 4.05941666e-05 1.53024032e-01]
[0.02166767 0.01909999 0.9592323 ],[6.35779949e-02 4.38842789e-07 3.02768693e-07],[1.79825725e-01 1.24123485e-06 8.56359184e-07]
[0.14769293 0.2111535  0.6411535 ],[0.02737808 0.00062563 0.01217049],[0.07743689 0.00176955 0.03442335]
[0.12792167 0.0425659  0.8295124 ],[6.21172107e-02 1.13584891e-05 2.32136637e-06],[1.75694004e-01 3.21266586e-05 6.56581561e-06]
[0.0264208  0.01640047 0.9571787 ],[6.69028640e-02 4.17230059e-07 4.73661489e-07],[1.89229875e-01 1.18010482e-06 1.33971700e-06]
[0.02299523 0.0149653  0.9620395 ],[6.77096019e-02 4.31597174e-07 4.53922206e-07],[1.91511675e-01 1.22074115e-06 1.28388588e-06]
[0.5621962  0.01476959 0.42303422],[0.01369915 0.03114879 0.00097321],[0.03874704 0.08810209 0.00275266]
[0.02811664 0.03824109 0.9336423 ],[6.51352826e-02 3.14094857e-07 3.77523447e-07],[1.84230400e-01 8.88394413e-07 1.06779756e-06]
[0.05778297 0.11790507 0.82431203],[6.32721011e-02 1.62753693e-05 9.78556910e-05],[1.78960527e-01 4.60336961e-05 2.76777691e-04]
