[0.01682275 0.01731784 0.96585935],[6.31787500e-02 1.93433697e-07 2.11014198e-07],[1.78696490e-01 5.47113115e-07 5.96838281e-07]
[0.01227458 0.01838904 0.9693364 ],[6.38568849e-02 2.17911880e-07 2.37622027e-07],[1.80614545e-01 6.16347872e-07 6.72096587e-07]
[0.02095737 0.01377439 0.9652682 ],[6.30663333e-02 1.88394582e-07 2.03963460e-07],[1.78378528e-01 5.32860345e-07 5.76895783e-07]
[0.03417982 0.08908728 0.8767328 ],[6.22422879e-02 1.61753085e-05 1.01829485e-04],[1.76047775e-01 4.57506813e-05 2.88017278e-04]
[0.1005009  0.06009809 0.83940107],[7.26719796e-02 1.86958583e-05 6.16183257e-05],[2.05547398e-01 5.28798727e-05 1.74282944e-04]
[0.07259401 0.13582613 0.7915799 ],[0.03191663 0.00010261 0.00264581],[0.09027387 0.00029022 0.00748349]
[0.05851009 0.04630448 0.8951854 ],[6.78013050e-02 9.05031483e-07 1.65075195e-06],[1.9177105e-01 2.5598156e-06 4.6690316e-06]
[0.05048461 0.08066853 0.86884695],[6.37921757e-02 6.55473472e-06 3.45334618e-05],[1.80431520e-01 1.85395895e-05 9.76753801e-05]
[0.01536179 0.02049045 0.96414775],[6.49496846e-02 2.72586808e-07 3.03740198e-07],[1.83705450e-01 7.70991920e-07 8.59107015e-07]
[0.2163189  0.07386193 0.70981914],[0.04771129 0.00542678 0.00066439],[0.13494792 0.01534924 0.00187917]
[0.03000665 0.03296335 0.93702996],[7.18151215e-02 2.32205490e-06 4.38986231e-06],[2.03123838e-01 6.56776306e-06 1.24164056e-05]
[0.15824455 0.03113374 0.81062174],[8.13223599e-02 1.53281620e-05 2.58979109e-05],[2.30014369e-01 4.33545893e-05 7.32503536e-05]
[0.01492834 0.01635169 0.96871996],[6.32988847e-02 2.24264010e-07 2.01461642e-07],[1.79036282e-01 6.34314409e-07 5.69819571e-07]
[0.23297666 0.1231578  0.6438656 ],[0.09230575 0.0004834  0.00032144],[0.2610801  0.00136725 0.00090918]
[0.02628372 0.04473369 0.9289826 ],[7.09613965e-02 7.66828396e-07 8.26823946e-07],[2.00709139e-01 2.16891823e-06 2.33861128e-06]
[0.02543202 0.13920385 0.8353641 ],[8.52377927e-02 4.25603811e-05 7.21799209e-05],[2.41088885e-01 1.20378936e-04 2.04155646e-04]
[0.02207316 0.01863834 0.95928854],[6.34639495e-02 2.10956602e-07 2.38724526e-07],[1.79503156e-01 5.96675375e-07 6.75214924e-07]
[0.02488707 0.02508331 0.95002955],[6.88292880e-02 5.16907239e-07 5.06239482e-07],[1.94678625e-01 1.46203446e-06 1.43186148e-06]
[0.26585907 0.02595847 0.70818245],[0.03909717 0.01380179 0.00131437],[0.11058351 0.03903735 0.00371759]
[0.01527545 0.02209089 0.9626336 ],[6.51186343e-02 2.50805583e-07 2.52777198e-07],[1.84183312e-01 7.09385315e-07 7.14961884e-07]
[0.02636066 0.0455757  0.9280637 ],[6.71640699e-02 5.06905449e-07 6.81238432e-07],[1.89968677e-01 1.43374512e-06 1.92683326e-06]
[0.01374822 0.01675468 0.96949714],[6.36282419e-02 1.96856008e-07 2.00819971e-07],[1.79967845e-01 5.56792873e-07 5.68004653e-07]
[0.02644126 0.02621238 0.9473463 ],[6.39719267e-02 3.79833523e-07 2.87318630e-07],[1.80939933e-01 1.07433144e-06 8.12659807e-07]
[0.3796603  0.0056466  0.61469316],[3.37681693e-02 1.32879908e-03 3.38681395e-05],[9.55108061e-02 3.75841137e-03 9.57935645e-05]
[0.01689081 0.19834867 0.7847606 ],[3.06139570e-02 4.37581905e-05 1.58680250e-03],[0.08658935 0.00012377 0.00448816]
[0.03068496 0.02021678 0.9490983 ],[6.59840775e-02 2.91401123e-07 2.92819942e-07],[1.86631155e-01 8.24206840e-07 8.28219867e-07]
[0.0124488  0.02716176 0.96038944],[6.36360005e-02 2.07086490e-07 1.99803479e-07],[1.79989790e-01 5.85729045e-07 5.65129580e-07]
[0.04877703 0.07096857 0.8802544 ],[7.61890477e-02 1.30099750e-05 3.12375243e-05],[2.15495169e-01 3.67977662e-05 8.83530610e-05]
[0.11542848 0.09425805 0.7903135 ],[0.09818908 0.00038123 0.00034401],[0.27772065 0.00107829 0.00097302]
[0.524939   0.01917795 0.45588297],[0.01446729 0.01511949 0.00027904],[0.04091967 0.04276436 0.00078925]
[0.06702244 0.02899929 0.90397835],[6.14207235e-02 5.97412966e-06 1.36409139e-06],[1.73724040e-01 1.68973904e-05 3.85823308e-06]
[0.02680941 0.08122391 0.8919667 ],[6.40953155e-02 6.80973020e-07 1.66032687e-06],[1.81288929e-01 1.92608256e-06 4.69611356e-06]
[0.01616395 0.0133508  0.9704852 ],[6.37009863e-02 1.97666105e-07 1.96697198e-07],[1.80173597e-01 5.59084174e-07 5.56343691e-07]
[0.02561844 0.02054046 0.9538411 ],[6.78718254e-02 5.02468788e-07 5.89041692e-07],[1.91970512e-01 1.42119635e-06 1.66606150e-06]
[0.12641256 0.12211657 0.7514709 ],[0.09817006 0.00023936 0.00022899],[0.27766687 0.00067701 0.00064768]
[0.03296832 0.34511763 0.621914  ],[0.00982213 0.00067417 0.03376722],[0.02778118 0.00190684 0.09550811]
[0.04578093 0.19257364 0.76164544],[7.18834146e-02 3.07505049e-05 9.69809679e-06],[2.03317000e-01 8.69755622e-05 2.74303600e-05]
[0.01934142 0.0239006  0.95675796],[6.70394234e-02 5.48829534e-07 7.98949405e-07],[1.89616124e-01 1.55232434e-06 2.25977017e-06]
[0.02255461 0.11535034 0.8620951 ],[6.34535534e-02 7.75599562e-07 2.20967056e-06],[1.79473752e-01 2.19372684e-06 6.24989216e-06]
[0.03513782 0.05555547 0.9093067 ],[7.81804560e-02 2.63286740e-06 2.71481759e-06],[2.21127722e-01 7.44687356e-06 7.67866370e-06]
[0.01085838 0.07602642 0.91311514],[6.37860159e-02 2.16212993e-07 2.36913231e-07],[1.80414098e-01 6.11542693e-07 6.70091809e-07]
[0.04923606 0.04243067 0.9083333 ],[7.44159454e-02 1.60423317e-06 1.47315799e-06],[2.10480078e-01 4.53745660e-06 4.16672000e-06]
[0.02409174 0.01954577 0.95636255],[6.44158837e-02 2.34479936e-07 2.49311954e-07],[1.82195633e-01 6.63209412e-07 7.05160694e-07]
[0.09286554 0.06191971 0.8452148 ],[7.02107382e-02 1.83405638e-05 6.97705179e-05],[1.98585956e-01 5.18749482e-05 1.97340825e-04]
[0.04034463 0.01632782 0.94332755],[6.61659237e-02 4.16194603e-07 3.62125007e-07],[1.87145493e-01 1.17717610e-06 1.02424419e-06]
[0.17557177 0.04841891 0.7760093 ],[8.02693258e-02 2.22967425e-05 4.62111652e-05],[2.27035938e-01 6.30647114e-05 1.30704913e-04]
[0.09018196 0.17773223 0.73208576],[8.53679384e-02 6.23621306e-05 3.86374091e-05],[2.41456993e-01 1.76386742e-04 1.09283096e-04]
[0.02112928 0.06955173 0.90931904],[7.18288648e-02 1.79132059e-06 3.04148562e-06],[2.03162709e-01 5.06661973e-06 8.60262043e-06]
[0.13783784 0.04488667 0.81727546],[7.12238192e-02 4.54469419e-06 2.27295231e-06],[2.01451382e-01 1.28543363e-05 6.42887996e-06]
[0.03475431 0.5736421  0.3916036 ],[0.00077627 0.00546177 0.05114902],[0.00219562 0.01544821 0.14467128]
[0.62182164 0.01338249 0.36479583],[0.00524313 0.04625265 0.00058226],[0.01482982 0.13082224 0.00164687]
[0.01476334 0.01464506 0.9705916 ],[6.20708685e-02 7.21878945e-07 2.33736992e-06],[1.75562928e-01 2.04178199e-06 6.61108048e-06]
[0.06166212 0.17589052 0.76244736],[3.51361544e-02 4.23082997e-05 1.15795051e-03],[0.09938005 0.00011967 0.00327518]
[0.06261992 0.12616302 0.811217  ],[6.38858262e-02 1.14183855e-05 6.11432441e-05],[1.80696404e-01 3.22960713e-05 1.72939210e-04]
[0.03226936 0.08712728 0.8806033 ],[6.14896910e-02 4.02476440e-06 2.37053254e-05],[1.73919110e-01 1.13837528e-05 6.70487853e-05]
[0.06939615 0.12761807 0.8029857 ],[9.42370941e-02 6.46571461e-05 6.37454613e-05],[2.66542753e-01 1.82878026e-04 1.80299392e-04]
[0.02142079 0.03123217 0.947347  ],[6.64705581e-02 7.28937253e-07 4.98960346e-07],[1.88007130e-01 2.06174590e-06 1.41127298e-06]
[0.07197712 0.11737158 0.81065136],[6.87609749e-02 2.07249863e-04 4.58086016e-05],[1.94485407e-01 5.86191135e-04 1.29566291e-04]
[0.01006582 0.06276046 0.9271736 ],[6.40555896e-02 2.18485625e-07 2.12847348e-07],[1.81176567e-01 6.17970669e-07 6.02023213e-07]
[0.2853039  0.01455221 0.70014393],[0.00381058 0.05949791 0.00071071],[0.01077796 0.16828552 0.0020102 ]
[0.02206367 0.6673702  0.31056613],[0.00036647 0.00584055 0.03507786],[0.00103654 0.01651956 0.09921518]
[0.04979931 0.03082279 0.9193779 ],[7.51336760e-02 4.21732711e-06 7.94372844e-06],[2.12510127e-01 1.19284024e-05 2.24682570e-05]
[0.02508311 0.04857225 0.9263446 ],[6.68864081e-02 6.86033620e-07 5.01519350e-07],[1.89183331e-01 1.94039610e-06 1.41851093e-06]
[0.1604312  0.05612598 0.78344285],[7.42668562e-02 7.75648311e-05 2.45301544e-05],[2.10058391e-01 2.19386472e-04 6.93817540e-05]
[0.4074291  0.04146964 0.55110127],[0.04074131 0.01422341 0.00160269],[0.11523382 0.04022987 0.00453308]
[0.3875372  0.01680492 0.5956579 ],[0.00643156 0.03558425 0.00042121],[0.01819121 0.10064745 0.00119137]
[0.24273671 0.02848182 0.7287814 ],[3.62503578e-02 1.09381824e-03 4.45250829e-05],[0.1025315  0.00309379 0.00012594]
[0.01478579 0.01612011 0.96909404],[6.33847606e-02 2.11681265e-07 1.97394142e-07],[1.79279176e-01 5.98725032e-07 5.58314945e-07]
[0.10271126 0.1824046  0.7148841 ],[0.0351829  0.000105   0.00230223],[0.09951228 0.00029698 0.00651168]
[0.13065165 0.01103872 0.85830957],[3.31866450e-02 6.80697146e-04 1.88158083e-05],[9.38660069e-02 1.92530227e-03 5.32191427e-05]
[0.06531826 0.04015725 0.89452446],[7.19754932e-02 2.98624574e-05 1.08620706e-04],[2.03577437e-01 8.44637845e-05 3.07225752e-04]
[0.01761502 0.01811302 0.9642719 ],[6.55263214e-02 1.42074780e-06 4.37060443e-06],[1.85336425e-01 4.01848161e-06 1.23619361e-05]
[0.07831828 0.0822739  0.83940786],[8.12229373e-02 1.96441612e-05 1.23574901e-05],[2.29733159e-01 5.55620785e-05 3.49522603e-05]
[0.02353491 0.03079235 0.94567275],[6.66355349e-02 5.94222094e-07 9.60614732e-07],[1.88473754e-01 1.68071389e-06 2.71702877e-06]
[0.02733965 0.122998   0.84966236],[6.46526163e-02 7.82445841e-06 3.99532718e-05],[1.82865214e-01 2.21309104e-05 1.13004918e-04]
[0.01591857 0.017054   0.9670274 ],[6.41838717e-02 2.17367169e-07 2.23075443e-07],[1.81539404e-01 6.14807197e-07 6.30952634e-07]
[0.0223982  0.01241652 0.96518534],[6.42365516e-02 2.29554502e-07 2.21449345e-07],[1.81688405e-01 6.49278181e-07 6.26353334e-07]
[0.04144006 0.02032878 0.9382312 ],[6.66295532e-02 3.50189867e-07 3.38591083e-07],[1.88456836e-01 9.90486519e-07 9.57680203e-07]
[0.02567619 0.0639344  0.9103895 ],[6.48515842e-02 1.31886430e-06 4.06731477e-06],[1.83427980e-01 3.73031157e-06 1.15041034e-05]
[0.03064308 0.06024407 0.9091129 ],[7.26847775e-02 3.58906765e-06 7.92702169e-06],[2.05583596e-01 1.01514163e-05 2.24210032e-05]
[0.04940619 0.02173681 0.9288569 ],[6.95698865e-02 1.55488092e-06 1.00286281e-06],[1.96773354e-01 4.39786737e-06 2.83652437e-06]
[0.03050313 0.01334131 0.95615554],[6.28873349e-02 7.95772910e-07 3.93072963e-07],[1.77872244e-01 2.25078568e-06 1.11177823e-06]
[0.01698571 0.01606061 0.96695364],[6.44059937e-02 2.42959328e-07 2.67391169e-07],[1.82167660e-01 6.87192754e-07 7.56296437e-07]
[0.01676744 0.01446372 0.96876884],[6.38452732e-02 2.04645329e-07 2.09312536e-07],[1.80581702e-01 5.78824400e-07 5.92025255e-07]
[0.04112417 0.04230373 0.9165721 ],[7.59323539e-02 2.65112522e-06 3.58704544e-06],[2.14769129e-01 7.49851448e-06 1.01456966e-05]
[0.02658591 0.03030776 0.9431063 ],[6.72834920e-02 1.16903276e-06 7.05831918e-07],[1.90306454e-01 3.30652396e-06 1.99639414e-06]
[0.0521986  0.04535598 0.9024454 ],[6.79031251e-02 1.06890870e-06 2.15235472e-06],[1.92059041e-01 3.02333036e-06 6.08777846e-06]
[0.05541164 0.13324144 0.81134695],[0.08530205 0.00032259 0.00015918],[0.24127062 0.00091242 0.00045024]
[0.0541686  0.03092555 0.91490585],[6.59545327e-02 8.24581775e-07 5.11348225e-07],[1.86547589e-01 2.33226946e-06 1.44631119e-06]
[0.0536519  0.05846838 0.8878797 ],[6.91536303e-02 9.37873299e-07 1.48377505e-06],[1.95596004e-01 2.65270628e-06 4.19674960e-06]
[0.16399036 0.12277649 0.7132332 ],[0.03102642 0.0091834  0.00052115],[0.08775596 0.02597457 0.00147404]
[0.3286219  0.02702123 0.6443569 ],[0.00381705 0.0813762  0.00158843],[0.01079624 0.23016664 0.00449276]
[0.02111098 0.03890381 0.9399853 ],[7.00952980e-02 2.25004448e-06 5.14969830e-06],[1.98259442e-01 6.36408684e-06 1.45655464e-05]
[0.0225545  0.84960264 0.1278428 ],[2.20998742e-06 5.50026426e-02 1.97612500e-05],[6.25078837e-06 1.55570966e-01 5.58932556e-05]
[0.03811202 0.0322969  0.9295911 ],[6.46484864e-02 5.59640469e-06 1.58773291e-06],[1.82853533e-01 1.58290228e-05 4.49078682e-06]
[0.03706147 0.03018077 0.9327578 ],[6.96602737e-02 1.52397403e-06 9.86867645e-07],[1.97029008e-01 4.31044949e-06 2.79128321e-06]
[0.04261343 0.03010327 0.9272833 ],[7.57081153e-02 3.25483659e-06 5.07371323e-06],[2.14134887e-01 9.20606809e-06 1.43506281e-05]
[0.2658671  0.06766111 0.6664718 ],[0.01323356 0.01529994 0.00026021],[0.03743015 0.04327478 0.00073598]
[0.09093688 0.02493044 0.8841326 ],[7.31069705e-02 7.61496474e-06 3.64157158e-06],[2.06777738e-01 2.15383728e-05 1.02999198e-05]
[0.06653591 0.25626314 0.677201  ],[0.0186551  0.00018722 0.00886136],[0.05276458 0.00052955 0.02506371]
[0.01264622 0.01824959 0.96910423],[6.27700532e-02 1.85351929e-07 2.08566982e-07],[1.77540521e-01 5.24254422e-07 5.89916510e-07]
[0.43739313 0.04922879 0.5133781 ],[0.07552434 0.00504297 0.00183257],[0.21361509 0.01426368 0.00518329]
[0.04880992 0.021473   0.929717  ],[7.14228869e-02 9.81851652e-07 1.20318178e-06],[2.02014430e-01 2.77709585e-06 3.40311198e-06]
[0.02070979 0.0189422  0.9603481 ],[6.43486664e-02 2.77594510e-07 3.41211078e-07],[1.82005513e-01 7.85155841e-07 9.65090669e-07]
[0.27476758 0.03797914 0.6872533 ],[0.02702854 0.00459125 0.00014639],[0.07644825 0.01298602 0.00041405]
[0.01621981 0.01624819 0.9675319 ],[6.41776066e-02 2.21011716e-07 2.31052089e-07],[1.81521683e-01 6.25115532e-07 6.53513996e-07]
[0.22133508 0.02815876 0.7505061 ],[3.36306157e-02 1.46015464e-03 5.06542284e-05],[0.09512175 0.00412994 0.00014327]
[0.01810662 0.2573401  0.7245532 ],[4.57637026e-02 5.59978147e-05 8.39433894e-04],[0.1294393  0.00015839 0.00237428]
[0.2957952  0.06911744 0.6350873 ],[0.00875266 0.02993803 0.00047014],[0.02475627 0.08467753 0.00132976]
[0.6063806  0.02373662 0.36988285],[0.00054046 0.03264566 0.00868368],[0.00152864 0.09233588 0.02456115]
[0.0190437  0.05910116 0.92185515],[7.57703720e-02 4.18040574e-06 2.87669099e-06],[2.14310975e-01 1.18239730e-05 8.13651083e-06]
[0.01181029 0.6531359  0.3350538 ],[0.00025266 0.00922755 0.02088195],[0.00071463 0.02609946 0.05906308]
[0.04494742 0.24016392 0.7148887 ],[0.01174743 0.00028181 0.0181949 ],[0.03322676 0.00079709 0.05146294]
[0.89656603 0.01038792 0.09304605],[1.69800852e-06 2.17048871e-05 5.01315610e-02],[4.80269336e-06 6.13906915e-05 1.41793467e-01]
[0.47067907 0.01729004 0.5120309 ],[0.00253175 0.09170861 0.00142838],[0.00716088 0.25939111 0.00404007]
[0.07941099 0.2063398  0.71424925],[0.06218038 0.00153818 0.00028176],[0.17587267 0.00435062 0.00079695]
[0.0183099  0.02092012 0.96077   ],[6.50734462e-02 2.47983602e-07 2.48629090e-07],[1.84055500e-01 7.01403547e-07 7.03229261e-07]
[0.02038188 0.06645645 0.91316164],[5.66497832e-02 1.96202187e-06 1.46893770e-05],[1.60229783e-01 5.54943589e-06 4.15478323e-05]
[0.01485005 0.03921033 0.94593966],[7.19718217e-02 8.91714726e-07 9.42478959e-07],[2.03567053e-01 2.52215012e-06 2.66573305e-06]
[0.01950263 0.05162772 0.92886966],[6.93280296e-02 9.05976898e-07 1.35728311e-06],[1.96089280e-01 2.56248963e-06 3.83897638e-06]
[0.03021146 0.03464435 0.9351442 ],[8.09841326e-02 5.28475830e-06 4.82997197e-06],[2.29057717e-01 1.49475537e-05 1.36612237e-05]
[0.03349312 0.19485454 0.77165234],[5.91048574e-02 1.90168026e-05 1.49321349e-04],[1.67173782e-01 5.37876402e-05 4.22344554e-04]
[0.01375226 0.01793202 0.9683157 ],[6.33168779e-02 1.95742274e-07 2.10721440e-07],[1.79087175e-01 5.53642757e-07 5.96010237e-07]
[0.01683095 0.01623971 0.9669293 ],[6.39759098e-02 2.09507316e-07 2.14634597e-07],[1.80951199e-01 5.92576176e-07 6.07078317e-07]
[0.0824454  0.03458165 0.88297296],[6.12449696e-02 9.20839114e-07 3.56229825e-06],[1.73226933e-01 2.60452633e-06 1.00757010e-05]
[0.21779956 0.02297173 0.7592287 ],[4.16761350e-02 4.20843157e-04 2.02873195e-05],[1.17877911e-01 1.19032420e-03 5.73812047e-05]
[0.01355873 0.01712167 0.9693196 ],[6.32619191e-02 2.09386029e-07 1.94192447e-07],[1.78931728e-01 5.92233124e-07 5.49259183e-07]
[0.22979164 0.02385017 0.7463582 ],[4.51284674e-02 4.96195471e-04 3.12896444e-05],[1.27642581e-01 1.40345273e-03 8.85004790e-05]
[0.01670031 0.03469927 0.9486004 ],[6.28196000e-02 2.44334590e-07 2.01689898e-07],[1.77680661e-01 6.91082582e-07 5.70465179e-07]
[0.0784324  0.09202927 0.82953835],[7.38204874e-02 3.18841169e-05 1.03650249e-04],[2.08795869e-01 9.01819011e-05 2.93167175e-04]
[0.01574037 0.01631265 0.967947  ],[6.27575699e-02 3.57207514e-07 2.50128441e-07],[1.77505213e-01 1.01033542e-06 7.07470068e-07]
[0.42808956 0.02941363 0.54249674],[2.33852435e-02 3.90496137e-03 8.80955237e-05],[0.06614346 0.0110449  0.00024917]
[0.01436345 0.01870247 0.966934  ],[6.36804625e-02 1.95517015e-07 1.95354495e-07],[1.80115547e-01 5.53005628e-07 5.52545954e-07]
