softmax prob,Overlap,Err
[0.00428997 0.01546651 0.98024344],[5.83175466e-02 5.54814187e-07 2.32435072e-06],[1.64946931e-01 1.56925150e-06 6.57425662e-06]
[0.01072675 0.00678911 0.98248416],[6.02525868e-02 1.37441376e-07 1.23116911e-07],[1.70420051e-01 3.88742916e-07 3.48227210e-07]
[0.04913126 0.15814804 0.7927207 ],[0.05395316 0.00017777 0.00140737],[0.15260259 0.00050281 0.00398065]
[0.03509606 0.57086384 0.39404008],[5.01352515e-06 4.59125418e-02 8.93222534e-05],[1.41803905e-05 1.29860278e-01 2.52641484e-04]
[0.02960414 0.04065809 0.92973787],[6.41678806e-02 7.22775024e-07 1.80942995e-06],[1.81494174e-01 2.04431648e-06 5.11784075e-06]
[0.31977582 0.04994205 0.63028216],[0.00462352 0.06466543 0.00110582],[0.01307728 0.18290146 0.00312773]
[0.04175016 0.16957965 0.78867024],[6.69185861e-02 1.18348211e-05 5.33722502e-05],[1.89274344e-01 3.34739290e-05 1.50959520e-04]
[0.03383245 0.01801614 0.94815135],[6.42217319e-02 3.89689923e-07 2.98168993e-07],[1.81646488e-01 1.10220955e-06 8.43349269e-07]
[0.29535624 0.03921629 0.66542745],[0.00445828 0.06817797 0.00119695],[0.01260991 0.19283641 0.00338549]
[0.08098434 0.02927526 0.8897404 ],[5.38307396e-02 5.63586100e-05 5.50047644e-06],[1.52256324e-01 1.59406221e-04 1.55576968e-05]
[0.00768327 0.38324374 0.60907304],[0.00354924 0.00102886 0.07134128],[0.01003877 0.00291004 0.20178361]
[0.00539036 0.01072845 0.9838811 ],[5.99626964e-02 1.20345644e-07 1.38432910e-07],[1.69600117e-01 3.40388885e-07 3.91547398e-07]
[0.0647388  0.1306291  0.80463207],[5.67027806e-02 2.55684217e-04 3.02684284e-05],[1.60379683e-01 7.23184175e-04 8.56120438e-05]
[0.00125959 0.00275842 0.99598205],[5.81809254e-02 7.65762875e-08 7.87581810e-08],[1.64560508e-01 2.16590449e-07 2.22761775e-07]
[0.00377724 0.5791041  0.41711864],[0.00019194 0.00807848 0.01992269],[0.00054289 0.02284939 0.05634987]
[0.49378246 0.01111906 0.49509847],[0.00457786 0.04740494 0.00051336],[0.01294814 0.13408143 0.001452  ]
[0.05128168 0.03659468 0.9121237 ],[6.71158054e-02 6.00122196e-07 4.74941987e-07],[1.89832165e-01 1.69740190e-06 1.34333880e-06]
[0.01034301 0.22515552 0.7645014 ],[0.00869089 0.00027087 0.022575  ],[0.02458154 0.00076614 0.06385174]
[0.02386516 0.05457533 0.9215595 ],[6.02655923e-02 9.45094371e-07 4.12074584e-06],[1.70456836e-01 2.67313055e-06 1.16552293e-05]
[0.03565923 0.09533703 0.8690038 ],[6.79005391e-02 2.95472917e-06 9.07422091e-06],[1.92051727e-01 8.35723612e-06 2.56657726e-05]
[0.03038294 0.03173416 0.93788284],[7.38945007e-02 1.39305777e-06 1.58867782e-06],[2.09005210e-01 3.94016238e-06 4.49345944e-06]
[0.42301172 0.01352157 0.56346667],[0.00513506 0.0455228  0.00054767],[0.01452413 0.12875793 0.00154905]
[0.05810085 0.03804754 0.9038516 ],[6.76985564e-02 1.37513621e-06 8.11423809e-07],[1.91480433e-01 3.88947255e-06 2.29505311e-06]
[0.00623247 0.8759665  0.11780099],[2.52790468e-07 6.05320317e-02 5.21465719e-07],[7.14999416e-07 1.71210440e-01 1.47492778e-06]
[0.05466188 0.20141272 0.74392545],[2.30044539e-02 7.38732227e-05 3.45663095e-03],[0.06506642 0.00020895 0.00977683]
[0.03434465 0.03522955 0.93042576],[6.74245926e-02 1.04545908e-06 6.62711735e-07],[1.90705547e-01 2.95700482e-06 1.87443185e-06]
[0.11682142 0.04758051 0.8355981 ],[8.62245542e-02 7.21305465e-05 1.25762614e-04],[2.43879868e-01 2.04015994e-04 3.55710388e-04]
[0.01905539 0.12085403 0.8600906 ],[0.01475584 0.0001473  0.00960357],[0.04173583 0.00041661 0.027163  ]
[0.05380958 0.02898235 0.9172081 ],[6.81688695e-02 1.00064539e-06 1.89042520e-06],[1.92810679e-01 2.83025255e-06 5.34692990e-06]
[0.06990195 0.06605212 0.8640459 ],[7.69519979e-02 3.35581478e-06 2.69101797e-06],[2.17653118e-01 9.49167754e-06 7.61134822e-06]
[0.41805744 0.00398759 0.57795495],[0.00141869 0.10621147 0.00159334],[0.00401267 0.30041142 0.00450665]
[0.03576356 0.01738277 0.94685364],[6.59863369e-02 3.06815033e-07 3.22299598e-07],[1.86637545e-01 8.67803960e-07 9.11600924e-07]
[0.00195915 0.99108535 0.00695551],[9.06160431e-08 5.91745527e-02 8.97893141e-08],[2.56300874e-07 1.67370910e-01 2.53962532e-07]
[0.0777759  0.03229734 0.88992673],[6.43245917e-02 4.20930058e-06 1.29734126e-06],[1.81937420e-01 1.19056999e-05 3.66943522e-06]
[0.89733166 0.00777798 0.09489039],[2.09865239e-06 1.56619760e-05 5.64599857e-02],[5.93588534e-06 4.42987576e-05 1.59692955e-01]
[0.92063946 0.00682017 0.07254039],[1.73838289e-07 2.90300087e-07 5.97281409e-02],[4.91688931e-07 8.21092642e-07 1.68936694e-01]
[0.48178953 0.00438246 0.5138279 ],[0.00130104 0.10178465 0.00168994],[0.0036799  0.28789047 0.00477988]
[0.5131219  0.00629655 0.48058152],[0.00161874 0.10902003 0.00157383],[0.00457849 0.30835521 0.00445145]
[0.03477094 0.02897393 0.9362551 ],[5.57215980e-02 1.95843504e-06 1.54440054e-05],[1.57604479e-01 5.53929079e-06 4.36822439e-05]
[0.10692909 0.0421314  0.8509396 ],[8.64956687e-02 1.84144859e-05 2.21552697e-05],[2.44646696e-01 5.20840313e-05 6.26645659e-05]
[0.03320514 0.01803878 0.9487561 ],[6.72259474e-02 3.90972711e-07 3.77535829e-07],[1.90143693e-01 1.10583782e-06 1.06783258e-06]
[0.01837369 0.18202488 0.79960144],[0.00255514 0.00109606 0.08349453],[0.00722702 0.00310011 0.2361582 ]
[0.01233508 0.01545072 0.97221416],[6.20132681e-02 2.62981747e-07 4.39056217e-07],[1.75400010e-01 7.43824706e-07 1.24183851e-06]
[0.21450226 0.0794207  0.7060771 ],[0.04635347 0.00634996 0.0007705 ],[0.13110742 0.01796039 0.0021793 ]
[0.690571   0.01109333 0.29833555],[0.00107525 0.07470752 0.00329026],[0.00304126 0.21130477 0.00930626]
[0.00949668 0.01078054 0.9797228 ],[6.03552811e-02 1.62190385e-07 1.33429090e-07],[1.70710514e-01 4.58743684e-07 3.77394457e-07]
[0.02842333 0.16845785 0.8031188 ],[2.69875338e-02 3.42681839e-05 1.55763927e-03],[7.63322728e-02 9.69250608e-05 4.40566916e-03]
[0.09128534 0.05757792 0.85113674],[6.25541512e-02 3.94497141e-06 1.09290680e-06],[1.76929858e-01 1.11580641e-05 3.09120723e-06]
[0.04816447 0.02044849 0.931387  ],[6.75097993e-02 4.60445576e-07 5.22590629e-07],[1.90946548e-01 1.30233676e-06 1.47810951e-06]
[0.00624697 0.03255501 0.96119803],[6.40938972e-02 2.53988407e-07 3.04246918e-07],[1.81284917e-01 7.18387699e-07 8.60540234e-07]
[0.00840848 0.01136939 0.98022217],[6.00744952e-02 1.13438024e-07 1.19648888e-07],[1.69916332e-01 3.20851185e-07 3.38418160e-07]
[0.01402803 0.5112448  0.4747271 ],[0.00936139 0.00037852 0.02529111],[0.02647801 0.00107062 0.07153407]
[0.07234097 0.14638582 0.7812731 ],[0.03956878 0.00010872 0.00184017],[0.11191741 0.00030751 0.00520478]
[0.03346372 0.00506742 0.9614688 ],[6.01083838e-02 3.50817448e-07 2.01229950e-07],[1.70012183e-01 9.92261585e-07 5.69164250e-07]
[0.0353828  0.01529955 0.9493177 ],[6.77996458e-02 7.85623861e-07 5.75355866e-07],[1.91766357e-01 2.22207984e-06 1.62735214e-06]
[0.00954014 0.02967169 0.9607882 ],[6.89277886e-02 5.70192586e-07 6.49051369e-07],[1.94957227e-01 1.61274818e-06 1.83579450e-06]
[0.01685965 0.00632995 0.97681034],[6.10693768e-02 2.74308220e-07 1.85473987e-07],[1.72730282e-01 7.75860810e-07 5.24599654e-07]
