softmax prob,Overlap,Err
[0.01726595 0.01862427 0.9641097 ],[6.42991054e-02 2.20253573e-07 2.24504825e-07],[1.81865334e-01 6.22971181e-07 6.34995536e-07]
[0.01338191 0.01633402 0.97028404],[6.36057895e-02 1.96649421e-07 2.01326551e-07],[1.79904340e-01 5.56208556e-07 5.69437479e-07]
[0.13066092 0.20967494 0.65966415],[0.05623855 0.00057339 0.00359367],[0.15906664 0.00162179 0.01016444]
[0.01248514 0.5830571  0.40445775],[0.00336405 0.00137229 0.08128546],[0.00951497 0.00388143 0.22990999]
[0.01900766 0.03178043 0.9492119 ],[6.75279868e-02 7.56456179e-07 1.26073881e-06],[1.90997990e-01 2.13958118e-06 3.56590786e-06]
[0.5041726  0.05026852 0.4455588 ],[0.00581532 0.10263156 0.00458472],[0.01644822 0.2902859  0.01296755]
[0.12140633 0.07448803 0.80410564],[5.54366729e-02 1.60765919e-04 1.63100839e-05],[1.56798589e-01 4.54714686e-04 4.61318838e-05]
[0.0124748  0.02161761 0.9659076 ],[6.32282854e-02 1.93667262e-07 2.09526320e-07],[1.78836597e-01 5.47773737e-07 5.92629927e-07]
[0.3692966  0.01747008 0.6132334 ],[0.00573136 0.04773966 0.00069643],[0.01621073 0.13502814 0.0019698 ]
[0.1943953  0.01574897 0.7898557 ],[2.74693714e-02 2.71223730e-03 6.68255792e-05],[0.07769512 0.00767137 0.00018901]
[0.11642983 0.15957926 0.723991  ],[0.06636587 0.00012281 0.00059267],[0.18771102 0.00034736 0.00167633]
[0.01278737 0.02243876 0.96477383],[6.37674824e-02 2.88640119e-07 3.92299969e-07],[1.80361677e-01 8.16397541e-07 1.10959187e-06]
[0.01780763 0.3206184  0.66157395],[8.00466779e-02 2.16556706e-05 4.46389127e-05],[2.26406195e-01 6.12514861e-05 1.26257912e-04]
[0.01449246 0.01498421 0.97052336],[6.25372261e-02 2.26652119e-07 1.89145052e-07],[1.76881987e-01 6.41069000e-07 5.34982996e-07]
[0.01610099 0.6216087  0.3622903 ],[0.0051027  0.00117222 0.06346099],[0.01443262 0.00331553 0.17949478]
[0.2297504  0.04446417 0.7257854 ],[2.79164220e-02 2.70536000e-03 7.77612402e-05],[0.07895957 0.00765191 0.00021994]
[0.02686428 0.01634291 0.9567928 ],[6.98755269e-02 6.54039633e-07 6.17944744e-07],[1.97637836e-01 1.84990344e-06 1.74781168e-06]
[0.0292301  0.38642943 0.58434045],[0.00415009 0.00097806 0.0651174 ],[0.01173822 0.00276636 0.18417982]
[0.03949749 0.05077843 0.9097241 ],[6.83685296e-02 1.06805816e-06 2.05811519e-06],[1.93375404e-01 3.02092466e-06 5.82122882e-06]
[0.01761862 0.01728382 0.9650976 ],[6.57831809e-02 3.25663301e-07 3.68278738e-07],[1.86062933e-01 9.21114914e-07 1.04164957e-06]
[0.06854555 0.15968804 0.77176636],[6.60089849e-02 3.01565284e-04 5.87551796e-05],[1.86701603e-01 8.52955428e-04 1.66184744e-04]
[0.3680608  0.03284856 0.5990906 ],[0.00454443 0.08176937 0.00188949],[0.01285358 0.23127871 0.00534428]
[0.02814371 0.02195739 0.94989884],[7.25309832e-02 1.00995194e-06 1.09187555e-06],[2.05148600e-01 2.85657547e-06 3.08829042e-06]
[0.00909745 0.9345573  0.05634525],[2.06975202e-06 5.39428151e-02 1.98255202e-05],[5.85414275e-06 1.52573321e-01 5.60750391e-05]
[0.05697694 0.2494274  0.69359565],[0.05125753 0.00014998 0.00140416],[0.14497818 0.0004242  0.00397156]
[0.16107026 0.04659567 0.7923341 ],[6.87376331e-02 1.30204458e-05 3.96058283e-06],[1.94419386e-01 3.68273820e-05 1.12022199e-05]
[0.04775014 0.10442829 0.8478216 ],[8.09657380e-02 6.67326155e-06 8.47836829e-06],[2.29005689e-01 1.88748340e-05 2.39804468e-05]
[0.05936167 0.3540368  0.5866016 ],[4.56252937e-02 8.32855164e-05 1.22298974e-03],[0.12904782 0.00023557 0.00345914]
[0.07084868 0.07949161 0.84965974],[7.85870832e-02 3.60789359e-06 3.17639082e-06],[2.22277838e-01 1.02046641e-05 8.98418995e-06]
[0.03945131 0.07634233 0.88420635],[7.48101287e-02 1.23157926e-04 3.96826262e-05],[2.11594997e-01 3.48343218e-04 1.12239416e-04]
[0.18063448 0.0072722  0.8120933 ],[0.01200815 0.01138471 0.00013087],[0.03396417 0.03220081 0.00037015]
[0.03239187 0.02979069 0.9378174 ],[7.0003782e-02 1.2767370e-06 2.2481249e-06],[1.98000596e-01 3.61115757e-06 6.35865745e-06]
[0.00835127 0.96853715 0.02311158],[2.18720729e-07 6.12732536e-02 3.49174712e-07],[6.18635642e-07 1.73306932e-01 9.87615226e-07]
[0.0945411  0.04653953 0.8589194 ],[8.50502177e-02 2.92613091e-05 2.17189040e-05],[2.40558343e-01 8.27634805e-05 6.14303372e-05]
[0.8465213  0.01168836 0.14179029],[8.04407262e-06 2.06269104e-04 4.11925074e-02],[2.27520732e-05 5.83417128e-04 1.16510005e-01]
[0.9080044  0.01202208 0.07997345],[3.12997595e-07 8.90216223e-07 5.88743835e-02],[8.85290886e-07 2.51791171e-06 1.66521903e-01]
[0.3215966  0.03983081 0.63857263],[0.0044241  0.06018728 0.00086151],[0.01251325 0.17023533 0.00243672]
[0.35203904 0.03439778 0.61356324],[0.02176588 0.00997305 0.00028953],[0.0615632  0.02820805 0.00081891]
[0.02694563 0.03174427 0.94131005],[6.65865212e-02 4.02666767e-07 4.65356751e-07],[1.88335123e-01 1.13891361e-06 1.31622766e-06]
[0.04119267 0.08730706 0.87150025],[6.55415902e-02 1.36997103e-05 3.36682704e-06],[1.85379611e-01 3.87486323e-05 9.52282494e-06]
[0.0173664  0.02757949 0.9550541 ],[6.39582549e-02 3.24456287e-07 4.73716780e-07],[1.80901263e-01 9.17700963e-07 1.33987339e-06]
[0.01490507 0.5892064  0.39588857],[0.005149   0.00046861 0.04258298],[0.01456358 0.00132542 0.12044287]
[0.03965704 0.07483672 0.8855063 ],[6.89959137e-02 6.60347459e-07 8.52452285e-07],[1.95149914e-01 1.86774466e-06 2.41109916e-06]
[0.3380552  0.06767802 0.5942668 ],[0.02571131 0.00786151 0.00030398],[0.07272256 0.0222357  0.00085978]
