epoch,step,val_loss,val_acc,val_calibration_error,val_chirality_violation,train_loss_epoch,train_acc_epoch,train_calibration_error_epoch
0,49,1.0030286312103271,0.6139205098152161,0.1263365447521209,,0.9677005410194396,0.6169769167900085,0.1145818307995796
1,99,0.9098732471466064,0.6628230214118958,0.1268379837274551,0.042765412479639,0.8835920095443726,0.6754654049873352,0.1220724135637283
2,149,0.7494843602180481,0.7629896998405457,0.1430968791246414,0.0420109070837497,0.797125518321991,0.7227007746696472,0.1260362118482589
3,249,0.7387855648994446,0.7652125358581543,0.100057728588581,0.0149135673418641,0.7326703667640686,0.7632675766944885,0.1212740689516067
4,299,0.6788199543952942,0.8048068881034851,0.147855743765831,0.1399410516023636,0.7012686133384705,0.7900806069374084,0.1348194032907486
5,399,0.7152083516120911,0.7824395895004272,0.1453761160373687,0.0477008819580078,0.6650716066360474,0.8103640079498291,0.1330808401107788
6,449,0.6443008780479431,0.8478744029998779,0.180432379245758,0.120251715183258,0.631692111492157,0.8478744029998779,0.1448622047901153
7,549,0.5952364802360535,0.8877465724945068,0.1767224818468094,0.1407855898141861,0.6168420314788818,0.8620449900627136,0.1504268497228622
8,599,0.6050397157669067,0.8792720437049866,0.1434903442859649,0.1728195995092392,0.5972495675086975,0.8809391260147095,0.1585659980773925
9,649,0.5957899689674377,0.8906641006469727,0.1434171795845031,0.1305908858776092,0.5879156589508057,0.8951097726821899,0.1684578955173492
10,749,0.5782251358032227,0.8996943831443787,0.1540377736091613,0.1463690847158432,0.5797157287597656,0.9030286073684692,0.1722287088632583
11,799,0.5694695115089417,0.9141428470611572,0.1704488694667816,0.2394767254590988,0.5705366730690002,0.9135870933532716,0.1774991303682327
12,899,0.5570171475410461,0.9384551048278807,0.2009100914001464,0.1733247190713882,0.5657971501350403,0.921367049217224,0.1847660988569259
13,949,0.5612602829933167,0.922478437423706,0.1812000870704651,0.2436098456382751,0.5618282556533813,0.9230341911315918,0.1869247853755951
14,1049,0.5549659729003906,0.9413726329803468,0.2096274346113205,0.2270309925079345,0.5597905516624451,0.9272019863128662,0.1928858458995819
15,1099,0.5588963627815247,0.9138649702072144,0.1852949559688568,0.2765065431594848,0.5563712120056152,0.9310919642448424,0.1906531602144241
16,1199,0.5529013276100159,0.9265073537826538,0.1853059530258178,0.2166809439659118,0.5517553091049194,0.9337316155433656,0.1932801455259323
17,1249,0.5479885339736938,0.9483189582824708,0.2137511074542999,0.2735786736011505,0.5507037043571472,0.936788022518158,0.1946357786655426
18,1299,0.5471454858779907,0.946096122264862,0.2154286652803421,0.2238737344741821,0.5491940975189209,0.94026118516922,0.1962340027093887
19,1399,0.5483689904212952,0.9438732862472534,0.1882955580949783,0.1691914498805999,0.5478439927101135,0.9415115118026732,0.1982868909835815
20,1449,0.5410749316215515,0.9581828117370604,0.2111241817474365,0.17788065969944,0.5473197102546692,0.942900776863098,0.1997190564870834
21,1549,0.5435506701469421,0.9451236724853516,0.1987845003604889,0.2155825048685073,0.5462644100189209,0.9416504502296448,0.2011024355888366
22,1599,0.5398080348968506,0.9594331979751588,0.2103170603513717,0.1758179366588592,0.5443716049194336,0.9426229596138,0.1989538371562957
23,1699,0.5412328243255615,0.9517921805381776,0.2037797272205352,0.2147936969995498,0.542829692363739,0.948180079460144,0.2041728943586349
24,1749,0.5450552105903625,0.9413726329803468,0.1899039298295974,0.3058607876300812,0.5429528951644897,0.9523478746414183,0.2056261748075485
25,1849,0.5597643256187439,0.8984439969062805,0.172789990901947,0.2067368924617767,0.5430227518081665,0.949291467666626,0.2047249674797058
26,1899,0.5378372073173523,0.9601278305053712,0.209995299577713,0.1801635473966598,0.5415734052658081,0.9520699977874756,0.2049876898527145
27,1949,,,,,,,
