epoch,step,val_loss,val_acc,val_calibration_error,val_chirality_violation,train_loss_epoch,train_acc_epoch,train_calibration_error_epoch,test_loss,test_acc,test_calibration_error,test_chirality_violation
0,49,1.0222012996673584,0.6094748377799988,0.1024129390716552,,0.9890380501747132,0.5998888611793518,0.1173819825053215,,,,
1,99,0.976800262928009,0.5828008055686951,0.1163743585348129,,0.9460831880569458,0.6212837100028992,0.1160862073302269,,,,
2,149,0.956670343875885,0.5907196402549744,0.118059866130352,,0.919383943080902,0.6417060494422913,0.1157786026597023,,,,
3,249,1.0127791166305542,0.598499596118927,0.110960304737091,4.058438777923584,0.8885436058044434,0.6694915294647217,0.1240483894944191,,,,
4,299,0.966658890247345,0.6225340366363525,0.1062809377908706,-2.7259421348571777,0.8791758418083191,0.6838010549545288,0.1237704157829284,,,,
5,399,1.0072853565216064,0.5882189273834229,0.1286406517028808,6.1649556159973145,0.8549656867980957,0.7001944780349731,0.1224054992198944,,,,
6,449,0.8857067227363586,0.6981105804443359,0.1111113280057907,1.4254441261291504,0.7931780815124512,0.7438177466392517,0.1284501701593399,,,,
7,549,0.9167358875274658,0.6550430655479431,0.1094469130039215,5.688822746276856,0.7605997920036316,0.7642400860786438,0.1294050365686416,,,,
8,599,0.7402279376983643,0.7682689428329468,0.1094378605484962,-1.675478458404541,0.7237715125083923,0.7885524034500122,0.1273180246353149,,,,
9,649,0.718726396560669,0.7999444007873535,0.0980849862098693,0.3399569690227508,0.6658368706703186,0.8423172831535339,0.1452379673719406,,,,
10,749,0.6033990383148193,0.8883023262023926,0.1534469127655029,0.6054610013961792,0.6253541111946106,0.8659349679946899,0.1532141119241714,,,,
11,799,0.5952534675598145,0.8902472853660583,0.143404871225357,1.1587622165679932,0.5937197208404541,0.8933036923408508,0.1575507223606109,,,,
12,899,0.5762010216712952,0.9112253189086914,0.1626447737216949,1.7989002466201782,0.5809646248817444,0.9005279541015625,0.1624152511358261,,,,
13,949,0.5684459805488586,0.9152542352676392,0.1690310537815094,0.415412575006485,0.5750964879989624,0.9028896689414978,0.1648046225309372,,,,
14,1049,0.6306790113449097,0.8387051820755005,0.1054501980543136,0.4683330059051513,0.5704532861709595,0.912336766719818,0.1681359112262725,,,,
15,1099,0.5575502514839172,0.9234509468078612,0.1768288165330886,0.3800731599330902,0.5662901997566223,0.9078910946846008,0.1701412796974182,,,,
16,1199,0.5580613017082214,0.9134481549263,0.1672449111938476,1.920942068099976,0.5597293376922607,0.9203945398330688,0.1739237755537033,,,,
17,1249,0.5492690801620483,0.9340094327926636,0.1850373297929763,0.9433032274246216,0.5557477474212646,0.9188663363456726,0.1740500628948211,,,,
18,1299,0.5532693862915039,0.9184495806694032,0.1736967265605926,0.6790764927864075,0.5545933842658997,0.9247013330459596,0.1787152290344238,,,,
19,1399,0.550254225730896,0.9315087795257568,0.1878977715969085,0.902520716190338,0.5559523105621338,0.9217838048934937,0.176584243774414,,,,
20,1449,0.5465530753135681,0.9427618980407716,0.1953373998403549,1.6553325653076172,0.5541180968284607,0.9184495806694032,0.1768878698348999,,,,
21,1549,0.5492029786109924,0.9209502935409546,0.1770884543657302,1.2625900506973269,0.5500345230102539,0.9322034120559692,0.1866433322429657,,,,
22,1599,0.5460696220397949,0.934704065322876,0.1791746467351913,1.198855996131897,0.5475991368293762,0.9327591061592102,0.185566172003746,,,,
23,1699,0.5450220108032227,0.9413726329803468,0.1879948824644088,1.423145055770874,0.5490657091140747,0.9274798631668092,0.1829632222652435,,,,
24,1749,0.5433700680732727,0.9395665526390076,0.19284088909626,1.471293807029724,0.5473363399505615,0.932342290878296,0.1861615628004074,,,,
25,1849,0.5410328507423401,0.9467907547950744,0.1938513815402984,1.6111035346984863,0.5462254285812378,0.9372047781944276,0.1893880367279052,,,,
26,1899,0.5437461733818054,0.9390108585357666,0.1905746012926101,1.8771857023239136,0.5452601313591003,0.9360933303833008,0.1881117969751358,,,,
